AppSwitch	From	To	Count
ms-teams > chrome	ms-teams	chrome	5
chrome > ms-teams	chrome	ms-teams	4
ms-teams > explorer	ms-teams	explorer	15
explorer > chrome	explorer	chrome	10
chrome > explorer	chrome	explorer	11
explorer > ms-teams	explorer	ms-teams	15
explorer > dragon center	explorer	dragon center	1
dragon center > explorer	dragon center	explorer	1
explorer > revit	explorer	revit	17
revit > explorer	revit	explorer	18
explorer > avpui	explorer	avpui	1
avpui > explorer	avpui	explorer	1
chrome > rhino	chrome	rhino	4
rhino > explorer	rhino	explorer	17
explorer > rhino	explorer	rhino	16
explorer > rhino_en-us_7.38.24338.17001	explorer	rhino_en-us_7.38.24338.17001	1
rhino_en-us_7.38.24338.17001 > bootstrapper	rhino_en-us_7.38.24338.17001	bootstrapper	1
bootstrapper > explorer	bootstrapper	explorer	1
explorer > searchhost	explorer	searchhost	3
searchhost > explorer	searchhost	explorer	2
searchhost > applicationframehost	searchhost	applicationframehost	1
applicationframehost > msiexec	applicationframehost	msiexec	1
msiexec > systemsettings	msiexec	systemsettings	1
systemsettings > ms-teams	systemsettings	ms-teams	1
ms-teams > olk	ms-teams	olk	1
olk > ms-teams	olk	ms-teams	1
explorer > devenv	explorer	devenv	5
devenv > ms-teams	devenv	ms-teams	4
ms-teams > devenv	ms-teams	devenv	3
devenv > explorer	devenv	explorer	4
explorer > winword	explorer	winword	9
winword > explorer	winword	explorer	9
revit > obs64	revit	obs64	6
obs64 > revit	obs64	revit	4
obs64 > explorer	obs64	explorer	3
explorer > msiexec	explorer	msiexec	3
msiexec > explorer	msiexec	explorer	3
revit > rhiexec	revit	rhiexec	1
rhiexec > explorer	rhiexec	explorer	1
revit > chrome	revit	chrome	2
chrome > revit	chrome	revit	1
rhino > chrome	rhino	chrome	3
rhino > dwm	rhino	dwm	1
dwm > rhino	dwm	rhino	1
explorer > olk	explorer	olk	3
olk > revit	olk	revit	1
explorer > notepad++	explorer	notepad++	1
notepad++ > revit	notepad++	revit	1
revit > ms-teams	revit	ms-teams	13
ms-teams > revit	ms-teams	revit	15
explorer > windowsterminal	explorer	windowsterminal	1
windowsterminal > explorer	windowsterminal	explorer	1
explorer > obs64	explorer	obs64	1
obs64 > ms-teams	obs64	ms-teams	1
ms-teams > obs64	ms-teams	obs64	1
explorer > shellexperiencehost	explorer	shellexperiencehost	1
shellexperiencehost > revit	shellexperiencehost	revit	1
explorer > snippingtool	explorer	snippingtool	5
snippingtool > revit	snippingtool	revit	5
revit > snippingtool	revit	snippingtool	4
snippingtool > pickerhost	snippingtool	pickerhost	3
pickerhost > explorer	pickerhost	explorer	1
snippingtool > explorer	snippingtool	explorer	3
explorer > photos	explorer	photos	1
photos > explorer	photos	explorer	1
revit > searchhost	revit	searchhost	1
searchhost > snippingtool	searchhost	snippingtool	1
pickerhost > snippingtool	pickerhost	snippingtool	2
explorer > excel	explorer	excel	2
excel > explorer	excel	explorer	3
snippingtool > excel	snippingtool	excel	1
ms-teams > winword	ms-teams	winword	1
winword > acrobat	winword	acrobat	1
acrobat > winword	acrobat	winword	1
winword > ms-teams	winword	ms-teams	1
olk > msedgewebview2	olk	msedgewebview2	1
msedgewebview2 > olk	msedgewebview2	olk	1
olk > explorer	olk	explorer	2
